market,raw_permit_type,raw_work_type,lens,confidence
CHICAGO,PERMIT - NEW CONSTRUCTION,,GROUND_UP_SITE,HIGH
CHICAGO,PERMIT - WRECKING/DEMOLITION,,GROUND_UP_SITE,HIGH
CHICAGO,PERMIT - RENOVATION/ALTERATION,,REINVESTMENT,MEDIUM
CHICAGO,PERMIT - ELEVATOR EQUIPMENT,,BUILDING_SYSTEMS,HIGH
CHICAGO,PERMIT - SIGNS,,SIGNAGE,HIGH
CHICAGO,PERMIT - REINSTATE REVOKED PMT,,ADMIN_LOW_INFORMATION,HIGH
CHICAGO,PERMIT - EASY PERMIT PROCESS,,UNCLASSIFIED,LOW
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Electrical Work,BUILDING_SYSTEMS,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Masonry Work,REINVESTMENT,MEDIUM
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Small-Scale Solar PV System,BUILDING_SYSTEMS,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Administrative Change,ADMIN_LOW_INFORMATION,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Monthly Maintenance Permit,ADMIN_LOW_INFORMATION,MEDIUM
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Fire Alarm System,BUILDING_SYSTEMS,MEDIUM
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Reroofing,REINVESTMENT,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Nonstructural Interior Work,REINVESTMENT,MEDIUM
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Fence or Trash Enclosure,ADMIN_LOW_INFORMATION,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Detached Frame Garage,UNCLASSIFIED,LOW
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Plumbing Work,BUILDING_SYSTEMS,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,"Porch,Deck,Balcony,or Fire Escape",REINVESTMENT,MEDIUM
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Mechanical Work,BUILDING_SYSTEMS,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Other Work,UNCLASSIFIED,LOW
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Exterior Windows/Doors Replacement,REINVESTMENT,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Scaffolding,TEMPORARY_LOGISTICS,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Communication Equipment,BUILDING_SYSTEMS,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Storm Water Management Plan,UNCLASSIFIED,LOW
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Small Temporary Structure,TEMPORARY_LOGISTICS,HIGH
CHICAGO,PERMIT – EXPRESS PERMIT PROGRAM,Construction Trailer,TEMPORARY_LOGISTICS,MEDIUM
NYC,,General Construction,GROUND_UP_SITE,MEDIUM
NYC,,Foundation,GROUND_UP_SITE,HIGH
NYC,,Earth Work,GROUND_UP_SITE,HIGH
NYC,,Full Demolition,GROUND_UP_SITE,HIGH
NYC,,Support of Excavation,GROUND_UP_SITE,HIGH
NYC,,Structural,REINVESTMENT,MEDIUM
NYC,,Plumbing,BUILDING_SYSTEMS,HIGH
NYC,,Mechanical Systems,BUILDING_SYSTEMS,HIGH
NYC,,Sprinklers,BUILDING_SYSTEMS,HIGH
NYC,,Standpipe,BUILDING_SYSTEMS,HIGH
NYC,,Boiler Equipment,BUILDING_SYSTEMS,HIGH
NYC,,Solar,BUILDING_SYSTEMS,HIGH
NYC,,Green Roof,BUILDING_SYSTEMS,MEDIUM
NYC,,Antenna,BUILDING_SYSTEMS,MEDIUM
NYC,,Sidewalk Shed,TEMPORARY_LOGISTICS,HIGH
NYC,,Construction Fence,TEMPORARY_LOGISTICS,HIGH
NYC,,Supported Scaffold,TEMPORARY_LOGISTICS,HIGH
NYC,,Suspended Scaffold,TEMPORARY_LOGISTICS,HIGH
NYC,,Protection and Mechanical Methods,TEMPORARY_LOGISTICS,MEDIUM
NYC,,Curb Cut,UNCLASSIFIED,LOW
NYC,,Sign,SIGNAGE,HIGH
